Funding,Employees,FounderExperience,CompanyAge,Revenue,Expenses,MarketSize,CustomerGrowth,Status
500000,25,8,4,400000,250000,10000000,25,Success
100000,5,1,1,20000,80000,2000000,2,Failure
750000,35,10,5,650000,350000,15000000,30,Success
50000,3,0,1,5000,60000,1000000,1,Failure
1000000,50,12,6,900000,450000,20000000,35,Success
150000,7,2,2,40000,100000,3000000,5,Failure
600000,30,7,4,500000,300000,12000000,22,Success
80000,4,1,1,10000,70000,1500000,2,Failure
900000,45,9,5,750000,400000,18000000,32,Success
120000,6,2,2,30000,90000,2500000,4,Failure
450000,20,6,3,350000,220000,8000000,18,Success
70000,3,1,1,8000,65000,1200000,1,Failure
850000,40,11,5,700000,380000,16000000,28,Success
200000,8,3,2,60000,130000,4000000,7,Failure
550000,22,7,4,450000,280000,10000000,20,Success
90000,4,1,1,12000,75000,1800000,2,Failure
700000,32,8,4,580000,320000,14000000,27,Success
130000,5,2,2,25000,95000,2500000,3,Failure
950000,48,13,6,850000,420000,20000000,38,Success
60000,3,0,1,6000,55000,1000000,1,Failure
400000,18,5,3,300000,200000,7000000,15,Success
110000,5,1,1,18000,85000,1800000,2,Failure
650000,28,9,4,520000,290000,13000000,24,Success
180000,7,2,2,45000,120000,3000000,5,Failure
800000,38,10,5,680000,360000,17000000,31,Success
100000,4,1,1,15000,70000,1500000,2,Failure
500000,24,6,3,420000,240000,9000000,19,Success
140000,6,2,2,35000,100000,2500000,4,Failure
720000,34,8,4,600000,330000,15000000,26,Success
75000,3,0,1,7000,65000,1200000,1,Failure
880000,42,11,5,730000,390000,18000000,33,Success
160000,6,2,2,40000,110000,3000000,5,Failure
470000,21,6,3,380000,230000,8500000,17,Success
95000,4,1,1,11000,72000,1500000,2,Failure
680000,30,9,4,550000,310000,14000000,25,Success
125000,5,2,2,28000,90000,2200000,3,Failure
920000,46,12,6,800000,410000,19000000,36,Success
85000,3,1,1,9000,68000,1300000,1,Failure
530000,23,7,3,430000,260000,9500000,21,Success
145000,6,2,2,32000,105000,2800000,4,Failure
